VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
2,7/1/2021 7:06,7/1/2021 7:09,N,1,75,74,1,1.29,5.5,0,0.5,0,0,,0.3,6.3,1,1,0
2,7/1/2021 7:25,7/1/2021 7:30,N,1,41,42,1,0.86,6,0,0.5,0,0,,0.3,6.8,2,1,0
1,7/1/2021 7:38,7/1/2021 7:48,N,1,152,74,1,1.7,9,0,0.5,0,0,,0.3,9.8,2,1,0
1,7/1/2021 7:50,7/1/2021 7:52,N,1,166,24,1,1,4.5,0,0.5,0,0,,0.3,5.3,2,1,0
2,7/1/2021 7:11,7/1/2021 7:16,N,1,74,75,1,1.6,7,0,0.5,2.34,0,,0.3,10.14,1,1,0
2,7/1/2021 7:49,7/1/2021 8:00,N,1,74,236,1,2.27,9.5,0,0.5,2.61,0,,0.3,15.66,1,1,2.75
1,7/1/2021 7:02,7/1/2021 7:07,N,1,152,151,1,1.8,7,0,0.5,2,0,,0.3,9.8,1,1,0
1,7/1/2021 7:50,7/1/2021 8:03,N,1,152,236,1,3.9,14,2.75,0.5,0,0,,0.3,17.55,2,1,2.75
1,7/1/2021 7:50,7/1/2021 8:08,N,1,29,165,1,0,13.2,0,0.5,0,0,,0.3,14,1,1,0
2,7/1/2021 7:04,7/1/2021 8:24,N,1,19,197,1,12.41,60,0,0.5,0,0,,0.3,60.8,1,1,0
2,7/1/2021 7:18,7/1/2021 7:26,N,1,152,238,1,1.8,8,0,0.5,1.5,0,,0.3,10.3,1,1,0
2,7/1/2021 7:03,7/1/2021 7:08,N,1,74,43,1,1.34,6,0,0.5,0,0,,0.3,6.8,2,1,0
2,7/1/2021 7:21,7/1/2021 7:28,N,1,74,74,1,1.01,6.5,0,0.5,0,0,,0.3,7.3,2,1,0
